Timestamp,Quat_W,Quat_X,Quat_Y,Quat_Z
1651139192477,0.257332,0.035842,0.669613,0.695782
1651139192486,0.254445,0.045543,0.675312,0.69075
1651139192496,0.26001,0.05496,0.678871,0.684476
1651139192507,0.256523,0.063925,0.684458,0.67943
1651139192516,0.259766,0.073979,0.687557,0.674027
1651139192527,0.257639,0.081648,0.692672,0.6687
1651139192537,0.261642,0.092121,0.695352,0.662979
1651139192547,0.259874,0.099038,0.700629,0.657095
1651139192558,0.262283,0.109197,0.704526,0.650326
1651139192566,0.261447,0.110801,0.708225,0.646363
1651139192576,0.267603,0.12127,0.710671,0.63924
1651139192586,0.26527599,0.122358,0.714399,0.635838
1651139192597,0.26263,0.132493,0.71887,0.629837
1651139192608,0.259097,0.132477,0.723965,0.625454
1651139192616,0.25772,0.138163,0.730269,0.617412
1651139192626,0.255653,0.138666,0.734973,0.612557
1651139192636,0.258832,0.143603,0.73998,0.603997
1651139192646,0.258796,0.145245,0.743085,0.599793
1651139192657,0.26735,0.152172,0.744956,0.591951
1651139192666,0.268385,0.153785,0.745749,0.590065
1651139192676,0.278338,0.162341,0.745078,0.583978
1651139192686,0.277217,0.16267,0.745376,0.584039
1651139192696,0.27997,0.172362,0.74527,0.580069
1651139192707,0.27699,0.17262,0.746423,0.579939
1651139192717,0.274747,0.182713,0.748073,0.575774
1651139192726,0.270559,0.18257199,0.750701,0.574378
1651139192737,0.269741,0.190755,0.753554,0.568337
1651139192746,0.263794,0.189656,0.756978,0.566945
1651139192757,0.258,0.194326,0.761346,0.56216
1651139192766,0.254308,0.192403,0.764492,0.560232
1651139192776,0.2507,0.196561,0.769345,0.553733
1651139192786,0.246522,0.195655,0.773137,0.550639
1651139192796,0.241868,0.198954,0.778925,0.543316
1651139192807,0.238245,0.197758,0.78277,0.539815
1651139192816,0.236745,0.199988,0.788008,0.531976
1651139192827,0.23605,0.198945,0.79043597,0.529066
1651139192837,0.241944,0.204087,0.792575,0.521186
1651139192846,0.238242,0.204269,0.794883,0.519302
1651139192857,0.238811,0.209164,0.798083,0.512134
1651139192866,0.233383,0.208782,0.80034,0.511271
1651139192877,0.231696,0.212614,0.803639,0.505248
1651139192886,0.2272,0.212144,0.805553,0.504438
1651139192896,0.224991,0.21553,0.808913,0.498582
1651139192907,0.222115,0.215678,0.810162,0.49778
1651139192916,0.223685,0.220038,0.812327,0.491601
1651139192926,0.219449,0.221589,0.813251,0.491285
1651139192936,0.219419,0.228336,0.814555,0.486021
1651139192947,0.214135,0.230391,0.815302,0.486156
1651139192957,0.212039,0.237934,0.816503,0.481403
1651139192966,0.207642,0.240147,0.81702,0.481342
1651139192976,0.208112,0.247909,0.817431,0.476483
1651139192986,0.205124,0.249231,0.817542,0.476899
1651139192996,0.206508,0.257329,0.817585,0.471899
1651139193007,0.202607,0.257508,0.818303,0.472248
1651139193017,0.204713,0.263578,0.81868,0.467313
1651139193026,0.19962,0.261911,0.819724,0.46862
1651139193036,0.199374,0.264819,0.82097,0.464895
1651139193046,0.192598,0.262389,0.822155,0.467032
1651139193056,0.187904,0.262741,0.82462,0.464391
1651139193066,0.184168,0.261128,0.824668,0.466706
1651139193077,0.183449,0.263707,0.825922,0.46331
1651139193086,0.182342,0.264255,0.824696,0.465614
1651139193101,0.183801,0.272571,0.824548,0.460479
1651139193107,0.184398,0.271414,0.822767,0.464095
1651139193116,0.189812,0.277319,0.821832,0.46006
1651139193127,0.192056,0.27798,0.820044,0.461918
1651139193136,0.199588,0.284655,0.818126,0.458045
1651139193146,0.201781,0.284681,0.816084,0.460703
1651139193156,0.208216,0.290955,0.814166,0.4573
1651139193166,0.209939,0.290175,0.812439,0.46006998
1651139193176,0.215463,0.294528,0.81125,0.456837
1651139193186,0.21648,0.293894,0.80946,0.45993
1651139193197,0.220142,0.299145,0.808068,0.457246
1651139193206,0.220808,0.298035,0.806698,0.46006
1651139193216,0.223801,0.303142,0.805596,0.457201
